"modelling - software" "number"
"couldn't find any reference to it" 50
"Vensim" 12
"GAMS (General Algebrainc Modeling System)" 7
"GEMPACK (General Equilibrium Modelling Software)" 4
"NetLogo" 4
"AnyLogic" 3
"MPMAS" 3
"RePast" 3
"Python" 2
"Stata" 2
"ArcGIS" 1
"CLUMondo" 1
"DASP (Distributive Analysis Stata Package)" 1
"EViews" 1
"EXCEL" 1
"LINDO Inc." 1
"MATLAB" 1
"OptQuest" 1
"PCRaster" 1
"Powersim Studio" 1
"R" 1
"RunGTAP" 1
"SPSS" 1
"TerrSet Geospatial Monitoring" 1
"TreeAge Pro" 1
"Visual Studio.Net" 1
