"papers - author" "number"
"Berger, Thomas" 3
"Thurlow, James" 3
"Wossen, Tesfamicheal" 3
"Benfica, Rui" 2
"Brockmeier, Martina" 2
"Brown, Daniel G." 2
"Ito, Shoichi" 2
"Jafari, Yaghoob" 2
"Kuhn, Arnim" 2
"Qian, Jiarong" 2
"Radam, Alias" 2
"Shamsudin, Mad Nasir" 2
"Yang, Fan" 2
"Zaitchik, Benjamin" 2
"Zhao, Zhijun" 2
"Abel, Kelsey C." 1
"Achsani, Noer Azam" 1
"Agusdinata, Datu Buyung" 1
"Ahn, Beyong-il" 1
"Akbar, Muhammad" 1
"Akhmad" 1
"al Hassan, Ramatu M." 1
"Alam, Shah Jamal" 1
"Alary, Véronique" 1
"Allcott, Hunt" 1
"Amjath-Babu, T. S." 1
"Anderson, Gary" 1
"Anderson, Kym" 1
"Anityasari, Maria" 1
"Ansari, S." 1
"Argüello, Ricardo" 1
"Atallah, Shady S." 1
"Atkinson, Peter M." 1
"Auchincloss, Amy H." 1
"Balié, Jean" 1
"Baltenweck, Isabel" 1
"Bar-Yam, Yaneer" 1
"Bavani, Ali Reza Massah" 1
"Bazuin, J. T." 1
"Bazzana, Davide" 1
"Beckman, Jayson" 1
"Bekkers, Eddy" 1
"Bektasoglu, Beyhan" 1
"Bhattarai, Utsav" 1
"Björkman, Thomas" 1
"Blackburn, G. Alan" 1
"Bloemhof-Ruwaard, J. M." 1
"Boccanfuso, Dorothée" 1
"Bouchard, Dylan" 1
"Boulanger, Pierre" 1
"Breisinger, Clemens" 1
"Britz, Wolfgang" 1
"Brouwer, Roy" 1
"Brown, Calum" 1
"Buisman, M. E." 1
"Cadisch, Georg" 1
"Cafiero, Carlo" 1
"Carney, Jess" 1
"Chakraborty, Sayan" 1
"Chang, Yuanhua" 1
"Chavez, Eddie" 1
"Che, Tuong Nhu" 1
"Chen, Xuan" 1
"Cheng, Kun" 1
"Cheng, Xin" 1
"Cook, Jeremy" 1
"Cororaton, Caesar B." 1
"Cunguara, Benedito" 1
"de Cruz Vieira, Wilson" 1
"de Quatrebarbes, Céline" 1
"de Vries, Martijn" 1
"Derwisch, Sebastian" 1
"Deybe, Daniel" 1
"Diamond, Rebecca" 1
"Diao, Xinshen" 1
"Diez Roux, Ana V." 1
"Djanibekov, Nodir" 1
"Djanibekov, Utkur" 1
"Doluschitz, Reiner" 1
"dos Santos Reis, Bricio" 1
"dos Santos, Vladimir Faria" 1
"Drabik, Dusan" 1
"Du, Rex Y." 1
"Dubé, Jean-Pierre" 1
"Dudu, Hasan" 1
"Engelbert, Tanja" 1
"Eseyas, Befikadu" 1
"Faust, Kasey M." 1
"Fellmann, Thomas" 1
"Ferrari, Emanuele" 1
"Ferrari, Guido" 1
"Findiastuti, Weny" 1
"Fleskens, Luuk" 1
"Francois, Joseph" 1
"Frank, Karin" 1
"Fu, Qiang" 1
"Fu, Yonghu" 1
"Gaiser, Thomas" 1
"Gallagher, Paul W." 1
"Gandonou, Esaïe" 1
"Gbegbelegbe, Sika" 1
"Gebauer, Jens" 1
"Gerber, Andreas" 1
"Ghorbani, Mohammad" 1
"Gies, Lauren" 1
"Gilioli, Gianni" 1
"Glauben, Thomas" 1
"Goharian, Erfan" 1
"Gökalp, Elvan" 1
"Gold, Stefan" 1
"Gómez, Miguel I." 1
"Gouel, Christophe" 1
"Gouse, Marnus" 1
"Grethe, Harald" 1
"Gunda, T." 1
"Ha, Pham Van" 1
"Haggblade, Steven" 1
"Hahn, Rüdiger" 1
"Haijema, R." 1
"Handbury, Jessie" 1
"Hansen, Jim" 1
"He, Jianhua" 1
"He, Ling-Yun" 1
"Hélaine, Sophie" 1
"Hensel, Oliver" 1
"Herrero, Mario" 1
"Hertel, Thomas W." 1
"Hofstede, Gert Jan" 1
"Holland, John H." 1
"Holst, Jirko" 1
"Hosoe, Nobuhiro" 1
"Hossain, M." 1
"Huang, Jikun" 1
"Huang, Jincheng" 1
"Huang, Qiang" 1
"Hyder, Ayaz" 1
"Ianchovichina, Elena" 1
"Iizumi, Toshichika" 1
"Jabbar, Abdul" 1
"Jayne, T. S." 1
"Jiang, Qiuxiang" 1
"Jiménez, José Mondéjar" 1
"Jin, Lei" 1
"Johnstone, Ron" 1
"Josling, T." 1
"Ju, Xianwei" 1
"Kamakura, Wagner A." 1
"Kapuya, Tinashe" 1
"Karmozdi, Komeil Mahjori" 1
"Kirsten, Johann F." 1
"Kleinwechter, Ulrich" 1
"Koh, Keumseok" 1
"Kohansal, Mohammad Reza" 1
"Kompas, Tom" 1
"Kopainsky, Birgit" 1
"Kotir, Julis H." 1
"Kovács, Máté" 1
"Kuiper, Marijke" 1
"Kunimitsu, Yoji" 1
"Laborte, A. G." 1
"Lampietti, Julian" 1
"Larson, Donald F." 1
"Latynskiy, Evgeny" 1
"Le, Quang Bao" 1
"Lee, Hyunok" 1
"Li, Tianxiao" 1
"Li, Wenjing" 1
"Liao, Xiaoli" 1
"Lin, Hai" 1
"Liu, Dianfeng" 1
"Liu, Jiali" 1
"Liu, Liming" 1
"Liu, Wei" 1
"Liu, Yaolin" 1
"Liu, Yue" 1
"Liu, Yueyan" 1
"Luedeling, Eike" 1
"Lusiana, Betha" 1
"Madani, Kaveh" 1
"Mainar-Causapé, Alfredo J." 1
"Makombe, Godswill" 1
"Mann, Stefan" 1
"Marshall, Nadine" 1
"Mason, Nicole M." 1
"Me-Nsope, Nathalie M." 1
"Merwade, Venkatesh" 1
"Metcalf, Sara S." 1
"Meyer, Ferdinand H." 1
"Mirchi, Ali" 1
"Mittal, Anuj" 1
"Mohamed, Zainalabidin" 1
"Möhring, Anke" 1
"Mongale, Itumeleng P." 1
"Montaud, Jean-Marc" 1
"Mu, Yueying" 1
"Mukarati, Julius" 1
"Müller, Birgit" 1
"Müller, Daniel" 1
"Mulyo, Sumedi Andoyo" 1
"Munroe, Darla K." 1
"Murray-Rust, Dave" 1
"Myers, Robert J." 1
"Nadaei, H." 1
"Naderi, Mohammad Mahdi" 1
"Nay, J." 1
"Nekhay, Olexandr" 1
"Nestorova, Bella" 1
"Neupane, Nilhari" 1
"Nguyen, Hoa Thi Minh" 1
"Nicholson, Charles F." 1
"Nigussie, Yalemzewd" 1
"Othman, Jamal" 1
"Pan, Ying" 1
"Park, Soo Jin" 1
"Parsons, David" 1
"Potori, Norbert" 1
"Prins, A. G." 1
"Qi, Xiaoxing" 1
"Radwan, Taher M." 1
"Rae, A." 1
"Rahim, Khalid Abdul" 1
"Rahkovsky, Ilya" 1
"Ramadan, Racha" 1
"Ramilan, Thiagarajah" 1
"Ramli, Nurul Nadia" 1
"Ramos, Maria Priscila" 1
"Rasul, Golam" 1
"Reiner, Gerald" 1
"Reno, Rebecca" 1
"Riolo, Rick L." 1
"Roberts, John" 1
"Rodríguez, Luis C." 1
"Rosegrant, Mark W." 1
"Rounsevell, Mark D." 1
"Ruben, Ruerd" 1
"Ruopeng, An" 1
"Sabbghi, M." 1
"Sakurai, Gen" 1
"Sankaranarayanan, Sriram" 1
"Sarmah, Sarada Prasad" 1
"Savard, Luc" 1
"Schipper, R. A." 1
"Schnell, Molly" 1
"Schulze, Jule" 1
"Secondi, Luca" 1
"Shao, Qianqian" 1
"Sharma, Bikash" 1
"Shuai, Chuanmin" 1
"Shuai, Jing" 1
"Siddiqui, Sauleh" 1
"Sieber, Stefan" 1
"Simane, Belay" 1
"Singgih, Moses Laksono" 1
"Singto, Chakaphon" 1
"Smith, Carl" 1
"Sommer, Rolf" 1
"Somwaru, Agapi" 1
"Song, Ci" 1
"Song, Wei" 1
"Staatz, John M." 1
"Sulser, Timothy B." 1
"Sumner, Daniel A." 1
"Swamikannu, Nedumaran" 1
"Tabuti, John R. S." 1
"Tambunan, Mangara" 1
"Tanaka, Tetsuji" 1
"Teimoury, E." 1
"Tesfaye, Kindie" 1
"Thomas, Alban" 1
"Tian, Qing" 1
"Tokgoz, Simla" 1
"Traub, Lulama Ndibongo" 1
"Trinh, Bui" 1
"Tröger, Katharine" 1
"Troost, Christian" 1
"Tuan, Francis" 1
"Ulli-Beer, Silvia" 1
"Vaghefi, Negin" 1
"Valderrama-Gonzalez, Daniel" 1
"Valenzuela, Ernesto" 1
"Valera, Harold Glenn" 1
"van den Berg, M. M." 1
"van Ittersum, M. K." 1
"van Keulen, H." 1
"van Noordwijk, Meine" 1
"van Rheenen, Teunis" 1
"van Vliet, Jasper" 1
"Vásáry, Viktória" 1
"Verburg, Peter H." 1
"Verma, Monika" 1
"Vlek, Paul L. G." 1
"Wahid, Shahriar M." 1
"Wailes, Eric" 1
"Wang, Jing" 1
"Wang, Xuejun" 1
"Wang, Yisong" 1
"Wang, Yu" 1
"Wesseler, Justus" 1
"Whitney, Cory W." 1
"Whyatt, J. Duncan" 1
"Widener, Michael J." 1
"Xiang, Weining" 1
"Xu, Fei" 1
"Yang, Jun" 1
"Ye, Jinwei" 1
"Yeh, Chung-Hua" 1
"Yeung, K. L." 1
"Yu, Krista Danielle S." 1
"Yu, Tun-Hsiang \"Edward\"" 1
"Yu, Yan" 1
"Yu, Zhenrong" 1
"Yuan, Chengcheng" 1
"Zhai, Tianlin" 1
"Zhang, Hong" 1
"Zhang, Xiaoying" 1
