"papers - first author" "number"
"Jafari, Yaghoob" 2
"Qian, Jiarong" 2
"Wossen, Tesfamicheal" 2
"Yang, Fan" 2
"Abel, Kelsey C." 1
"Akbar, Muhammad" 1
"Akhmad" 1
"Alary, Véronique" 1
"Allcott, Hunt" 1
"Amjath-Babu, T. S." 1
"An, Ruopeng" 1
"Anderson, Kym" 1
"Argüello, Ricardo" 1
"Arndt, Channing" 1
"Atallah, Shady S." 1
"Auchincloss, Amy H." 1
"Balié, Jean" 1
"Bazzana, Davide" 1
"Benfica, Rui" 1
"Berger, Thomas" 1
"Boulanger, Pierre" 1
"Breisinger, Clemens" 1
"Brown, Calum" 1
"Buisman, M. E." 1
"Chakraborty, Sayan" 1
"Chen, Xuan" 1
"Cheng, Kun" 1
"Cheng, Xin" 1
"Cororaton, Ceasar B." 1
"de Quatrebarbes, Céline" 1
"Djanibekov, Nodir" 1
"dos Santos, Vladimir Faria" 1
"Du, Rex Y." 1
"Engelbert, Tanja" 1
"Fellmann, Thomas" 1
"Ferrari, Guido" 1
"Findiastuti, Weny" 1
"Gallagher, Paul W." 1
"Gerber, Andreas" 1
"Gies, Lauren" 1
"Gökalp, Elvan" 1
"Gunda, T." 1
"Ha, Pham Van" 1
"Haggblade, Steven" 1
"Hansen, Jim" 1
"He, Jianhua" 1
"Huang, Jincheng" 1
"Huang, Qiang" 1
"Jin, Lei" 1
"Kapuya, Tinashe" 1
"Karmozdi, Komeil Mahjori" 1
"Kleinwechter, Ulrich" 1
"Koh, Keumseok" 1
"Kopainsky, Birgit" 1
"Kotir, Julis H." 1
"Kuhn, Arnim" 1
"Kuiper, Marijke" 1
"Kunimitsu, Yoji" 1
"Laborte, A. G." 1
"Larson, Donald F." 1
"Le, Quang Bao" 1
"Lee, Hyunok" 1
"Lin, Hai" 1
"Lusiana, Betha" 1
"Mason, Nicole M." 1
"Mittal, Anuj" 1
"Möhring, Anke" 1
"Montaud, Jean-Marc" 1
"Mukarati, Julius" 1
"Müller, Daniel" 1
"Naderi, Mohammad Mahdi" 1
"Pan, Ying" 1
"Parsons, David" 1
"Potori, Norbert" 1
"Radwan, Taher M." 1
"Rae, A." 1
"Ramadan, Racha" 1
"Ramli, Nurul Nadia" 1
"Reiner, Gerald" 1
"Rodríguez, Luis C." 1
"Sankaranarayanan, Sriram" 1
"Schulze, Jule" 1
"Shao, Qianqian" 1
"Singto, Chakaphon" 1
"Sulser, Timothy B." 1
"Tanaka, Tetsuji" 1
"Teimoury, E." 1
"Tian, Qing" 1
"Traub, Lulama Ndibongo" 1
"Vaghefi, Negin" 1
"Verma, Monika" 1
"Whitney, Cory W." 1
"Widener, Michael J." 1
"Yu, Tun-Hsiang \"Edward\"" 1
"Yuan, Chengcheng" 1
"Zhang, Hong" 1
