"papers - last author" "number"
"Thurlow, James" 2
"Ahn, Beyong-il" 1
"al Hassan, Ramatu M." 1
"An, Ruopeng" 1
"Anderson, Gary" 1
"Anityasari, Maria" 1
"Atkinson, Peter M." 1
"Baltenweck, Isabel" 1
"Bar-Yam, Yaneer" 1
"Beckman, Jayson" 1
"Berger, Thomas" 1
"Björkman, Thomas" 1
"Bloemhof-Ruwaard, J. M." 1
"Brockmeier, Martina" 1
"Brown, Daniel G." 1
"Cadisch, Georg" 1
"Chavez, Eddie" 1
"Deybe, Daniel" 1
"Diez Roux, Ana V." 1
"Djanibekov, Utkur" 1
"Doluschitz, Reiner" 1
"dos Santos Reis, Bricio" 1
"Faust, Kasey M." 1
"Francois, Joseph" 1
"Gallagher, Paul W." 1
"Gandonou, Esaïe" 1
"Gbegbelegbe, Sika" 1
"Gerber, Andreas" 1
"Ghorbani, Mohammad" 1
"Gilioli, Gianni" 1
"Gökalp, Elvan" 1
"Grethe, Harald" 1
"Hahn, Rüdiger" 1
"He, Ling-Yun" 1
"Hosoe, Nobuhiro" 1
"Hossain, M." 1
"Hyder, Ayaz" 1
"Ianchovichina, Elena" 1
"Iizumi, Toshichika" 1
"Jabbar, Abdul" 1
"Johnstone, Ron" 1
"Josling, T." 1
"Kamakura, Wagner A." 1
"Kirsten, Johann F." 1
"Kuhn, Arnim" 1
"Liu, Dianfeng" 1
"Liu, Wei" 1
"Luedeling, Eike" 1
"Madani, Kaveh" 1
"Makombe, Godswill" 1
"Mann, Stefan" 1
"Merwade, Venkatesh" 1
"Mittal, Anuj" 1
"Montaud, Jean-Marc" 1
"Mulyo, Sumedi Andoyo" 1
"Munroe, Darla K." 1
"Myers, Robert J." 1
"Nekhay, Olexandr" 1
"Nicholson, Charles F." 1
"Radam, Alias" 1
"Rahim, Khalid Abdul" 1
"Ramilan, Thiagarajah" 1
"Ramos, Maria Priscila" 1
"Roberts, John" 1
"Rounsevell, Mark D." 1
"Ruben, Ruerd" 1
"Sabbghi, M." 1
"Sarmah, Sarada Prasad" 1
"Savard, Luc" 1
"Schnell, Molly" 1
"Secondi, Luca" 1
"Shuai, Jing" 1
"Siddiqui, Sauleh" 1
"Sieber, Stefan" 1
"Somwaru, Agapi" 1
"Song, Ci" 1
"Staatz, John M." 1
"Thomas, Alban" 1
"Trinh, Bui" 1
"Ulli-Beer, Silvia" 1
"Valderrama-Gonzalez, Daniel" 1
"Valenzuela, Ernesto" 1
"Valera, Harold Glenn" 1
"van Rheenen, Teunis" 1
"Vásáry, Viktória" 1
"Vlek, Paul L. G." 1
"Wang, Xuejun" 1
"Wang, Yisong" 1
"Wesseler, Justus" 1
"Xu, Fei" 1
"Yang, Fan" 1
"Ye, Jinwei" 1
"Yeung, K. L." 1
"Yu, Krista Danielle S." 1
"Zhai, Tianlin" 1
"Zhao, Zhijun" 1
