"per effect - FS indicator" "number"
"price of X" 35
"income" 33
"production of X" 32
"area used for X" 25
"consumption of X" 20
"import of X" 18
"export of X" 15
"poverty rate/incidence/headcount ratio" 12
"yield of X" 12
"farm gate price of X" 9
"income inequality" 8
"self-sufficiency of X" 8
"stocks/surplus of X" 8
"demand for X" 7
"availability of X" 6
"farm profit" 6
"income from agriculture" 6
"poverty depth/gap" 6
"purchase of X" 6
"sales of X" 6
"area irrigated" 5
"area left fallow/unused" 5
"shortage of X" 5
"contribution of X to GDP" 4
"equivalent variation" 4
"fertiliser use for X" 4
"food losses of X" 4
"poverty severity" 4
"profitability of land" 4
"volatility of X prices" 4
"capital assets" 3
"demand for farm land" 3
"economic surplus" 3
"productivity of X" 3
"profit from X production" 3
"supply of water for irrigation" 3
"demand for farm labour" 2
"import price of X" 2
"land use inequality" 2
"price of fertilisers" 2
"price of labour" 2
"production costs" 2
"profitability of labour" 2
"supply of X" 2
"unclear" 2
"access to X" 1
"access to X during drought" 1
"added value of X" 1
"agricultural production value of X" 1
"availability of X during drought" 1
"beta-carotene contribution of X" 1
"calcium contribution of X" 1
"calorie intake" 1
"carbohydrate contribution of X" 1
"child malnourishment" 1
"compensation variation" 1
"consumption of agricultural water" 1
"contribution of X to GDP during drought" 1
"demand for agricultural water" 1
"demand for agrochemicals" 1
"demand for capital" 1
"dietary income differential" 1
"economic benefit/increase in output value of additional production of X" 1
"energy contribution of X" 1
"fat contribution of X" 1
"fiber contribution of X" 1
"folate contribution of X" 1
"Healthy Eating Index" 1
"import reliance for X" 1
"incidence of higher average income with higher variance (%)" 1
"incidence of higher average income with lower variance (%)" 1
"incidence of identical average income and variance (%)" 1
"incidence of identical average income with lower variance (%)" 1
"incidence of lower average income with lower variance [%]" 1
"incidence of lower income with higher variance" 1
"income during drought" 1
"income from X production" 1
"inflation" 1
"iron contribution of X" 1
"marginal cost of producing X" 1
"marginal cost of shipping X" 1
"max price of X" 1
"maximum irrigation water deficit" 1
"minimum equivalent variation" 1
"niacin contribution of X" 1
"number of (active/passive) farms" 1
"people walking to store as a last resort" 1
"pesticide use for X" 1
"price of agrochemicals" 1
"price of irrigation water" 1
"price of land" 1
"price of X during drought" 1
"probability of food shortages/deficits/stockout falls" 1
"production costs for X" 1
"production of fertiliser" 1
"production of X for self-consumption" 1
"profit from X retail" 1
"profitability of livestock" 1
"profitability of water use" 1
"protein contribution of X" 1
"quality adjusted life years" 1
"quality of life" 1
"reliability of irrigation water supply" 1
"resilience to water scarcity" 1
"return to investments (in agriculture)" 1
"riboflavin contribution of X" 1
"selling time of X" 1
"share of X in diet" 1
"thiamin contribution of X" 1
"trade balance of X" 1
"transportation cost of X" 1
"unemployed" 1
"use of irrigation water" 1
"variability in equivalent variation" 1
"variability in import price of X" 1
"variability in income" 1
"variability in price of X" 1
"vitamin A contribution of X" 1
"vitamin B6 contribution of X" 1
"vitamin C contribution of X" 1
"volatility of equivalent variation" 1
"volatility of income" 1
"volatility of X consumption" 1
"vulnerability of irrigation water supply" 1
"water security" 1
"X shopping frequency" 1
"yield gap of X" 1
"zinc contribution of X" 1
