"per effect - effect" "number"
"increased income" 5
"reduced poverty incidence" 4
"increased agricultural productivity" 3
"increased food production" 3
"reduced food prices" 3
"decrease in food prices" 2
"decrease in food production" 2
"increased export of agricultural products" 2
"increased farm gate prices" 2
"increased food prices" 2
"increased GDP" 2
"increased poverty incidence" 2
"increased profit" 2
"increased return per land area" 2
"increased rice consumption" 2
"increased rice imports" 2
"increased wages" 2
"reduced income" 2
"reduced poverty" 2
"reduced prices of agricultural commodities" 2
"reduced return from farm land" 2
"reduced rice consumption" 2
"reduced rice farm gate prices" 2
"reduced rice prices for consumers" 2
"change from rice to cotton" 1
"changes in product flows between regions" 1
"compromised financial access to irrigation" 1
"compromised income" 1
"decrease calf sales" 1
"decrease in diet differential" 1
"decrease in national poverty" 1
"decrease in people walking to store as a last resort" 1
"decrease in price of specific crop" 1
"decrease in private investment in agricultural sector" 1
"decrease in public expenditures" 1
"decrease in water use" 1
"decreased agricultural productivity" 1
"decreased fodder production" 1
"decreased income" 1
"decreased milk productivity" 1
"decreased supply of ecosystem services" 1
"decreased supply of irrigated crops" 1
"decresed economic importance of agriculture" 1
"delayed farm exits" 1
"displacement of people" 1
"economic growth" 1
"electricity board goes bankrupt" 1
"electricity infrastructure cannot be maintained" 1
"fewer people walk as last resort" 1
"improved diets in the lower income quartile (Q4)" 1
"improved diets in the lower middle income quartile (Q3)" 1
"Improved diets in the upper middle income quartile (Q2)" 1
"improved flood control" 1
"increase in feedgrain price" 1
"increase in fodder area" 1
"increase in food crop GDP" 1
"increase in hydroelectric power generation" 1
"increase in irrigation coverage" 1
"increase in milk sales" 1
"increase in output value of agricultural products" 1
"increase it quality adjusted life years" 1
"increased abandonment of agricultura land" 1
"increased abandonment of natural land" 1
"increased acreage of specific crop(s)" 1
"increased added value for certain crops" 1
"increased agricultural GDP" 1
"increased agricultural growth" 1
"increased agricultural incomes" 1
"increased agricultural trade surplus" 1
"increased cereal prices" 1
"increased crop production" 1
"increased crop productivity" 1
"increased demand for agricultural labour" 1
"increased demand for non-agricultural goods" 1
"increased domestic rice price" 1
"increased domestic rice production" 1
"increased export of dairy" 1
"increased export of meat" 1
"increased export of oilseeds" 1
"increased export of sugar" 1
"increased export of vegetables & fruits" 1
"increased export of wheat" 1
"increased extension service coverage" 1
"increased farm-non farm income inequality" 1
"increased farm gate price of plant-based fibers" 1
"increased fertiliser use" 1
"increased food availability" 1
"increased food inflation" 1
"increased forest area" 1
"increased global rice price" 1
"increased government revenue" 1
"increased grain production" 1
"increased import of dairy" 1
