"per measure - measure" "number"
"subsidies on fertiliser" 7
"reduce/remove import tariffs on X" 6
"(increase) minimum support price for X" 5
"(increase) investment in agricultural research" 4
"(increase) investment in agricultural sector" 4
"(increase) investment in extension services" 4
"(increase) subsidies on (hybrid/improved/high quality) seeds" 4
"credit programme" 4
"land protection policy" 4
"remove import tariffs for X" 4
"(increase) investment in infrastructure" 3
"(increase) subsidies on machinery and equipment" 3
"abolish export subsidies for X" 3
"cash transfers to low-income households" 3
"direct payments for X production" 3
"export ban on X" 3
"export quotas for X" 3
"export tax on X" 3
"import tariffs on X" 3
"strategic storage reserves of X" 3
"subsidies on fuel" 3
"subsidies on land rent" 3
"(expand) agricultural extension services" 2
"(increase) direct payments" 2
"(increase) direct payments for X production" 2
"(increase) investment in agricultural technology development" 2
"(increase) investment in irrigation" 2
"(increase) subsidies on farm inputs" 2
"abolish producer tax on X" 2
"afforestation (also agro-forestry)" 2
"cheaper healthy food/relative pricing" 2
"compensation for resource dispossession due to infrastructure construction" 2
"construction of hydro-electric dams" 2
"construction of irrigation infrastructure" 2
"construction of irrigation network" 2
"construction of water storage infrastructure" 2
"creating new stores" 2
"elimination of irrigation subsidies" 2
"food stamps to low-income households with incentives for fruit and vegetable" 2
"import tax on X" 2
"improve irrigation facilities" 2
"increase availability of (healthy) foods in stores" 2
"increased investment general" 2
"introduce new techniques to farmers" 2
"investment in road infrastructure" 2
"reduce import tariffs on fertiliser" 2
"reduce import tariffs on X" 2
"reduce interest rate on loans" 2
"remove conditional agricultural production subsidies based on target prices of X" 2
"remove non-tariff trade barriers" 2
"share seasonal forecasts with farmers" 2
"subsidies on X" 2
"tax rebate" 2
"(increase) investment in farm inputs" 1
"(increase) subsidies on agrochemicals" 1
"abolish area-based X production restrictions" 1
"abolish export taxes for X" 1
"abolish production subsidies for X" 1
"abolish quantiative export quotas for X" 1
"abolish quantitative X import quotas" 1
"abolish quantitative X production restrictions" 1
"abolish subsidies on fertiliser" 1
"adjusted interest rates" 1
"allow agroforestry between trees in timber production areas" 1
"allow farmer to colonise new (natural) land for agriculture" 1
"allow land rental" 1
"allow the cultivation of bio-fuel in marginal grasslands" 1
"area-based production requirements for X" 1
"awareness campaign on water conservation" 1
"campaign to promote shopping in supermarkets (versus convenience stores)" 1
"cheaper food products that will soon expire" 1
"conditional agricultural production subsidies based on target prices of X" 1
"construction of dam" 1
"construction of electric grids" 1
"construction of market facilities" 1
"construction of road networks" 1
"construction of water canals" 1
"create off-farm off-season work opportunities" 1
"create off-farm work opportunities" 1
"credit provision for agricultural production-related expenses" 1
"crowd-shipping food rescue programme" 1
"development of farm schools" 1
"dietary guidelines" 1
"disaster control" 1
"dynamic shelf life policy" 1
"educate farmers through extension services" 1
"education & training" 1
"encourage environmentally friendly farm inputs" 1
"end public food distribution programme" 1
"export tariffs on X" 1
"family planning programme" 1
"food stamps to low-income households" 1
"food stamps to low-income households during price shocks" 1
"import quota on X" 1
"improve access to credit" 1
"improve market infrastructure" 1
"improve market infrastructure for fertiliser" 1
"improve road networks" 1
"improve transport and distribution of food in food distribution programme" 1
"improving female workers' education levels" 1
"improving public transport" 1
"improving willingness to walk" 1
"incentivise GM food production through redused compliance cost" 1
"increase direct payments for X production" 1
"increase direct payments to large-scale farmers" 1
"increase nutrient content of X through processing" 1
"increase subsidies on fertilisers" 1
