"spatial & temporal - country" "number"
"China" 27
"United States of America" 22
"Indonesia" 16
"Philippines" 15
"India" 14
"South Africa" 14
"Thailand" 14
"Bangladesh" 13
"Brazil" 13
"Egypt" 13
"Mexico" 13
"Viet Nam" 13
"Australia" 12
"Canada" 12
"Iran" 12
"Japan" 12
"Malaysia" 12
"Korea" 11
"Morocco" 11
"Mozambique" 11
"Pakistan" 11
"Argentina" 10
"Taiwan" 10
"Turkey" 10
"Uruguay" 10
"Colombia" 9
"Ethiopia" 9
"Germany" 9
"Ghana" 9
"Kenya" 9
"Nigeria" 9
"Russia" 9
"Sri Lanka" 9
"Uganda" 9
"Ukraine" 9
"Zambia" 9
"Chile" 8
"Denmark" 8
"Finland" 8
"France" 8
"Hungary" 8
"Italy" 8
"Myanmar" 8
"New Zealand" 8
"Paraguay" 8
"Romania" 8
"Sweden" 8
"Venezuela" 8
"Zimbabwe" 8
"Austria" 7
"Belgium" 7
"Bolivia" 7
"Botswana" 7
"Cambodia" 7
"Czech Republic" 7
"Estonia" 7
"Greece" 7
"Iraq" 7
"Ireland" 7
"Latvia" 7
"Lithuania" 7
"Luxembourg" 7
"Malawi" 7
"Malta" 7
"Mauritius" 7
"Netherlands" 7
"Peru" 7
"Portugal" 7
"Saudi Arabia" 7
"Singapore" 7
"Slovakia" 7
"Spain" 7
"Tanzania" 7
"Tunisia" 7
"Algeria" 6
"Armenia" 6
"Azerbaijan" 6
"Belarus" 6
"Benin" 6
"Bulgaria" 6
"Costa Rica" 6
"Croatia" 6
"Cyprus" 6
"Ecuador" 6
"Georgia" 6
"Guatemala" 6
"Kazakhstan" 6
"Kuwait" 6
"Kyrgyzstan" 6
"Madagascar" 6
"Nepal" 6
"Nicaragua" 6
"Norway" 6
"Panama" 6
"Poland" 6
"Senegal" 6
"Slovenia" 6
"Albania" 5
"Bahrain" 5
"Burkina Faso" 5
"Cote d'Ivoire" 5
"Cuba" 5
"El Salvador" 5
"Honduras" 5
"Israel" 5
"Jordan" 5
"Laos" 5
"Lebanon" 5
"Lesotho" 5
"Libya" 5
"Mali" 5
"Mauritania" 5
"Namibia" 5
"Niger" 5
"Oman" 5
"Somalia" 5
"Swaziland" 5
"Switzerland" 5
"Syria" 5
"Togo" 5
"United Arab Emirates" 5
"United Kingdom" 5
"Uzbekistan" 5
"Angola" 4
"Antigua and Barbuda" 4
"Barbados" 4
"Belize" 4
"Burundi" 4
"Cameroon" 4
"Central African Republic" 4
"Djibouti" 4
"Dominica" 4
"Gabon" 4
"Grenada" 4
"Guyana" 4
"Haiti" 4
"Iceland" 4
"Jamaica" 4
"Moldova" 4
"Mongolia" 4
"Qatar" 4
"Rwanda" 4
"Saint Kitts and Nevis" 4
"Saint Lucia" 4
"Saint Vincent and the Grenadines" 4
"Sudan" 4
"Suriname" 4
"Tajikistan" 4
"Trinidad and Tobago" 4
"Turkmenistan" 4
"Yemen" 4
"Afghanistan" 3
"American Samoa" 3
"Andorra" 3
"Anguilla" 3
"Antarctica" 3
"Aruba" 3
"Bahamas" 3
"Bermuda" 3
"Bhutan" 3
"Bosnia and Herzegovina" 3
"Brunei" 3
"Cape Verde" 3
"Cayman Islands" 3
"Chad" 3
"Comoros" 3
"Cook Islands" 3
"Curacao" 3
"Democratic Republic of the Congo" 3
"Dominican Republic" 3
"Equatorial Guinea" 3
"Eritrea" 3
"Faroe Islands" 3
"Fiji" 3
"French Guiana" 3
"French Polynesia" 3
"French Southern and Antarctic Lands" 3
"Gambia" 3
"Greenland" 3
"Guam" 3
"Guernsey" 3
"Guinea" 3
"Guinea-Bissau" 3
"Isle of Man" 3
"Ivory Coast" 3
"Jersey" 3
"Kiribati" 3
"Kosovo" 3
"Liberia" 3
"Liechtenstein" 3
"Macedonia" 3
"Maldives" 3
"Marshall Islands" 3
"Monaco" 3
"Montenegro" 3
"Montserrat" 3
"Nauru" 3
"New Caledonia" 3
"Niue" 3
"Norfolk Island" 3
"North Korea" 3
"Northern Mariana Islands" 3
"Not specified" 3
"Palau" 3
"Palestine" 3
"Papua New Guinea" 3
"Pitcairn Islands" 3
"Puerto Rico" 3
"Republic of Congo" 3
"Saint Barthelemy" 3
"Saint Helena" 3
"Saint Martin" 3
"Saint Pierre and Miquelon" 3
"Samoa" 3
"San Marino" 3
"Sao Tome and Principe" 3
"Serbia" 3
"Seychelles" 3
"Sierra Leone" 3
"Solomon Islands" 3
"South Korea" 3
"South Sudan" 3
"Timor-Leste" 3
"Tonga" 3
"Turks and Caicos Islands" 3
"UK" 3
"USA" 3
"Vanuatu" 3
"Vietnam" 3
"Virgin Islands, British" 3
"Wallis and Futuna" 3
"Western Sahara" 3
"Dominican republic" 1
