"spatial & temporal - spatial extent" "number"
"510100000000000" 15
"not given and cannot look it up" 8
"9597000000000" 5
"not given" 4
"1220000000000" 3
"148326000000000" 2
"329847000000" 2
"801590000000" 2
"8842000000" 2
"only given in cells" 2
"10000000" 1
"100210000000" 1
"10062308000000" 1
"1010000000000" 1
"1040000000000" 1
"1100000000000" 1
"1143000000000" 1
"114763000000" 1
"118484000000" 1
"1240000000000" 1
"1267000000000" 1
"127000000" 1
"136000000" 1
"1395000000" 1
"141000000" 1
"14461062000000:" 1
"15930000000" 1
"1602000000" 1
"1707700000" 1
"17164000000" 1
"183190000" 1
"1905000000000" 1
"1973000000000" 1
"23000000000" 1
"237000000" 1
"238535000000" 1
"2503062000000" 1
"2503062000000 + 14461062000000" 1
"2636516000000" 1
"2683030000" 1
"300000000000" 1
"331212000000" 1
"33976067000000" 1
"3467890000" 1
"3630000" 1
"380454360000" 1
"3839900000" 1
"390757000000" 1
"40000000000" 1
"400000000000" 1
"41285000000" 1
"458500000" 1
"46717480000" 1
"473000000000" 1
"4986515000000" 1
"5343000000" 1
"537023000000" 1
"577850000" 1
"580367000000" 1
"667000000" 1
"69560000" 1
"730000000" 1
"7415000000" 1
"7714000000" 1
"8516000000000" 1
"87311000000" 1
"881913000000" 1
"91646000000" 1
"93030000000" 1
"9500000000" 1
"9596961000000" 1
"9833520000000" 1
"9834000000000" 1
